category,brand,condition,age_months,rating,num_reviews,weight_kg,price
Toys,Standard,Fair,19,4.9,363,4.95,13.58
Clothing,Budget,Like New,21,3.2,742,17.31,22.41
Beauty,SportMax,Good,52,4.7,549,3.27,22.27
Clothing,TechPro,New,40,3.2,986,4.86,54.05
Books,SportMax,New,0,3.6,179,5.67,35.51
Automotive,EcoFriendly,Good,14,5.0,100,7.88,171.02
Health,TechPro,Good,11,4.9,41,10.84,94.0
Clothing,Luxury,Fair,41,4.7,133,2.91,48.46
Electronics,BasicValue,Refurbished,6,3.6,72,6.52,185.36
Toys,BasicValue,Like New,1,3.3,821,6.34,14.29
Clothing,HomeStyle,Good,30,4.0,109,17.98,29.0
Beauty,Standard,Like New,34,3.8,24,13.36,28.02
Electronics,Premium,Good,33,3.1,993,10.17,428.67
Automotive,Standard,New,11,4.9,607,11.93,211.28
Sports,SportMax,Like New,30,4.0,657,5.63,103.32
Beauty,HomeStyle,Good,22,3.3,516,15.64,25.85
Food,TechPro,Refurbished,9,3.4,381,19.9,18.54
Home & Kitchen,TechPro,New,8,3.9,904,2.93,149.58
Automotive,BasicValue,Fair,8,4.6,493,2.11,52.21
Books,Premium,Good,3,4.3,551,16.3,26.85
Sports,HomeStyle,Fair,38,3.4,220,12.52,28.09
Sports,EcoFriendly,New,36,4.8,573,13.12,104.13
Toys,SportMax,Good,34,3.7,91,9.68,22.69
Electronics,TechPro,Good,4,3.0,385,2.76,601.02
Sports,Standard,Fair,20,3.0,590,11.68,39.77
Clothing,Luxury,Refurbished,4,3.4,212,16.7,92.69
Electronics,Premium,Good,44,5.0,337,1.39,387.2
Sports,Budget,Refurbished,48,4.1,702,10.04,21.82
Sports,Standard,Refurbished,54,3.3,509,3.09,37.35
Sports,BasicValue,Like New,39,4.6,732,7.95,27.97
Sports,EcoFriendly,Like New,37,3.8,553,17.85,85.2
Health,Premium,Good,59,3.2,96,16.83,28.38
Home & Kitchen,Budget,Refurbished,57,3.5,231,9.28,16.79
Books,Budget,New,58,3.9,944,12.32,6.3
Electronics,Budget,New,59,3.9,172,3.09,138.4
Toys,Luxury,Refurbished,36,3.1,199,1.79,40.55
Toys,Premium,Like New,42,4.3,434,1.52,26.44
Books,Premium,Like New,45,5.0,435,15.52,21.13
Beauty,SportMax,New,6,4.6,562,3.56,68.48
Clothing,HomeStyle,Fair,31,3.1,137,0.52,19.25
Toys,SportMax,Refurbished,31,4.0,336,5.98,24.66
Clothing,HomeStyle,Refurbished,1,4.3,962,2.52,45.99
Sports,BasicValue,New,3,4.5,168,19.2,62.52
Food,Generic,Fair,9,4.6,651,9.54,5.0
Electronics,Premium,Fair,1,4.2,692,18.41,592.42
Beauty,TechPro,New,33,3.3,782,2.31,57.27
Automotive,HomeStyle,New,17,3.4,664,7.58,158.25
Clothing,EcoFriendly,Refurbished,49,4.9,413,18.57,27.18
Home & Kitchen,Standard,Like New,43,3.4,685,0.35,46.78
Books,BasicValue,Refurbished,11,4.8,529,12.76,6.64
Food,EcoFriendly,Fair,20,5.0,301,14.6,9.6
Health,SportMax,Good,10,3.6,661,19.69,71.77
Automotive,SportMax,Refurbished,21,4.1,780,3.38,185.33
Beauty,Standard,New,26,4.9,462,10.17,33.07
Food,Luxury,Fair,23,3.7,277,10.89,16.82
Automotive,Luxury,Fair,53,4.1,412,1.97,171.29
Toys,HomeStyle,Fair,43,4.3,127,8.73,11.03
Beauty,Standard,Good,7,3.5,260,17.64,25.83
Beauty,EcoFriendly,Good,3,3.2,223,17.61,32.92
Toys,Budget,Fair,20,4.5,230,12.34,9.12
Clothing,Standard,New,1,3.7,12,10.82,63.05
Clothing,TechPro,New,57,3.1,208,0.32,44.07
Toys,Budget,Refurbished,56,4.9,376,13.6,6.36
Electronics,BasicValue,Refurbished,5,4.8,100,2.58,192.5
Food,EcoFriendly,New,46,3.9,19,15.63,11.08
Beauty,EcoFriendly,Fair,37,3.8,999,3.65,17.35
Electronics,Generic,Refurbished,9,4.2,771,3.71,122.47
Books,EcoFriendly,New,6,4.0,525,14.5,22.57
Health,SportMax,Like New,36,4.2,54,14.09,56.76
Home & Kitchen,HomeStyle,Like New,29,4.6,158,0.56,57.64
Clothing,EcoFriendly,Refurbished,18,4.0,877,3.07,42.47
Toys,Standard,Good,57,4.4,926,16.52,11.47
Health,Luxury,Fair,18,3.9,739,2.54,64.36
Food,BasicValue,Refurbished,51,3.1,475,14.74,5.0
Food,Premium,Refurbished,10,4.5,117,12.89,20.4
Books,Premium,Like New,47,3.4,398,8.26,15.05
Books,Generic,Good,13,4.5,870,11.48,5.22
Toys,Premium,Like New,9,3.7,972,14.04,45.53
Home & Kitchen,BasicValue,Fair,29,4.7,709,10.41,17.38
Clothing,Budget,New,41,4.7,921,17.47,20.1
Clothing,SportMax,Like New,28,3.9,979,16.07,46.5
Beauty,TechPro,Fair,5,4.3,637,14.59,28.96
Toys,Budget,Good,49,4.8,791,14.62,6.99
